Unique ID,Revised Name,Unique ID,Code,Category,Pieces,Quantity,Unit,Supplier,Remarks
1,10MM STATER (DMC) 11/18 (EV-903),,,10MM DOL STATER (DMC),20,,BOX,VIRAT BANGLORE OFFICE,
2,10MM STATER (DMC) 13/22 (EV-903),,,10MM DOL STATER (DMC),20,,BOX,VIRAT BANGLORE OFFICE,
3,10MM STATER (DMC) 20/32 (EV-904),,(EV-904),10MM DOL STATER (DMC),20,,BOX,,
4,10MM STATER (DMC) 4/6 (EV-903),,(EV-903),10MM DOL STATER (DMC),20,,BOX,VIRAT BANGLORE OFFICE,
5,10MM STATER (DMC) 6/10 (EV-903),,,10MM DOL STATER (DMC),20,,BOX,VIRAT BANGLORE OFFICE,
6,10MM STATER (DMC) 9/14 (EV-903),,,10MM DOL STATER (DMC),20,,BOX,VIRAT BANGLORE OFFICE,
7,8MM DOL STATER (B) 1/2.5 (EV-901),,(EV-901),8MM DOL STATER (B),20,,BOX,VIRAT BANGLORE OFFICE,
8,8MM DOL STATER (B) 11/18 (EV-901),,,8MM DOL STATER (B),20,,BOX,VIRAT BANGLORE OFFICE,
9,8MM DOL STATER (B) 13/22 (EV-901),,,8MM DOL STATER (B),20,,BOX,,
10,8MM DOL STATER (B) 20/32 (EV-902),,(EV-902),8MM DOL STATER (B),20,,BOX,,
11,8MM DOL STATER (B) 4/6 (EV-901),,,8MM DOL STATER (B),20,,BOX,VIRAT BANGLORE OFFICE,
12,8MM DOL STATER (B) 9/14 (EV-901),,,8MM DOL STATER (B),20,,BOX,VIRAT BANGLORE OFFICE,
13,8MM DOL STATER (B) 6/10 (EV-901),,,8MM DOL STATER (B),20,,BOX,VIRAT BANGLORE OFFICE,
14,ASSEMBLED PCB 1 /2PH AUTO (ST-009-020),,(ST-009-020),ASSEMBLED PCB,1,,PCS,ALFA ELECTRICAL,
15,ASSEMBLED PCB DOL (ST-009-026),,(ST-009-026),ASSEMBLED PCB,1,,PCS,SIMFISIS TECHNOLOGY(EASY SOLUTION),
16,ASSEMBLED PCB FA (ST-009-022),,(ST-009-022),ASSEMBLED PCB,1,,PCS,ALFA ELECTRICAL,
17,ASSEMBLED PCB METER (ST-009-039),,(ST-009-039),ASSEMBLED PCB,1,,PCS,SIMFISIS TECHNOLOGY(EASY SOLUTION),
18,ASSEMBLED PCB MINI (ST-009-024),,(ST-009-024),ASSEMBLED PCB,1,,PCS,ALFA ELECTRICAL,
19,ASSEMBLED PCB S+S (ST-009-025),,(ST-009-025),ASSEMBLED PCB,1,,PCS,ALFA ELECTRICAL,
20,ASSEMBLED PCB SEMI AUTO (ST-009-015),,(ST-009-015),ASSEMBLED PCB,1,,PCS,ALFA ELECTRICAL,
21,ASSEMBLED PCB SERIES AUTO (ST-009-040),,(ST-009-040),ASSEMBLED PCB,1,,PCS,,
22,ASSEMBLED PCB V3 (ET-009-034),,(ET-009-034),ASSEMBLED PCB,1,,PCS,SIMFISIS TECHNOLOGY(EASY SOLUTION),
23,ASSEMBLED PCB WATER LEVEL (ET-ST-03),,(ET-ST-03),ASSEMBLED PCB,1,,PCS,,
24,BASE BODY 8 MM (B),,,BASE BODY,10,,BOX,SIMFISIS TECHNOLOGY(EASY SOLUTION),
25,BASE BODY MU,,,BASE BODY,1,,BOX,SIMFISIS TECHNOLOGY(EASY SOLUTION),
26,BASE BODY NO. 10,,,BASE BODY,1,,BOX,SIMFISIS TECHNOLOGY(EASY SOLUTION),
27,BASE BODY 10 MM (DMC),,,BASE BODY,10,,BOX,SIMFISIS TECHNOLOGY(EASY SOLUTION),
28,BASE BODY 2 POLE,,,BASE BODY,1,,BOX,SIMFISIS TECHNOLOGY(EASY SOLUTION),
29,BASE BODY 4 POLE,,,BASE BODY,1,,BOX,SIMFISIS TECHNOLOGY(EASY SOLUTION),
30,CABLE TIE 100 * 2.5MM,,,CABLE TIE,100,,PKT,SANMAN CAPACITOR,
31,CAPACITOR BOX TYPE 108 MFD,,,CAPACITOR BOX TYPE,10,,BOX,SANMAN CAPACITOR,
32,CAPACITOR BOX TYPE 120 MFD,,,CAPACITOR BOX TYPE,10,,BOX,SANMAN CAPACITOR,
33,CAPACITOR BOX TYPE 144 MFD,,,CAPACITOR BOX TYPE,10,,BOX,SANMAN CAPACITOR,
34,CAPACITOR BOX TYPE 180 MFD,.,,CAPACITOR BOX TYPE,10,,BOX,VIRAT BANGLORE OFFICE,
35,CAPACITOR BOX TYPE 72 MFD,,,CAPACITOR BOX TYPE,10,,BOX,SANMAN CAPACITOR,
36,CAPACITOR EPCOS 36 (440 VOLTS) MFD,,,CAPACITOR EPCOS,25,,BOX,VIRAT BANGLORE OFFICE,
37,CAPACITOR EPCOS 36 (450) MFD,,,CAPACITOR EPCOS,25,,BOX,VIRAT BANGLORE OFFICE,
38,CAPACITOR EPCOS 50 (440) MFD,,,CAPACITOR EPCOS,25,,BOX,VIRAT BANGLORE OFFICE,
39,CAPACITOR EPCOS 50 (450) MFD,,,CAPACITOR EPCOS,25,,BOX,ARYA INDUSTRIES,
40,CAPACITOR EPCOS 72 MFD,,,CAPACITOR EPCOS,25,,BOX,VIRAT BANGLORE OFFICE,
41,CAPACITOR EPCOS 120 STARTING - (200-250) MFD,.,,CAPACITOR EPCOS,25,,BOX,VIRAT BANGLORE OFFICE,
42,CAPACITOR SANMAN 2.5 UF,,,CAPACITOR SANMAN,25,,BOX,VIRAT BANGLORE OFFICE,
43,CAPACITOR SANMAN 3.15 MFD,,,CAPACITOR SANMAN,25,,BOX,VIRAT BANGLORE OFFICE,
44,CAPACITOR SANMAN 4 MFD,,,CAPACITOR SANMAN,25,,BOX,M ROSHAN,
45,CAPACITOR VIRAT 10 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
46,CAPACITOR VIRAT 120-150 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
47,CAPACITOR VIRAT 15 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
48,CAPACITOR VIRAT 150-200 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
49,CAPACITOR VIRAT 20 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
50,CAPACITOR VIRAT STARTING - 200/250 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
51,CAPACITOR VIRAT 25 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
52,CAPACITOR VIRAT 36 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
53,CAPACITOR VIRAT 50 MFD,,,CAPACITOR VIRAT,25,,BOX,VIRAT BANGLORE OFFICE,
54,CAPACITOR VIRAT 72 MFD,,,CAPACITOR VIRAT,25,,BOX,M ROSHAN,
55,COIL 180/240V - NVC (220) MK1 (DOL STARTER),,,COIL,10,,BOX,VIRAT BANGLORE OFFICE,
56,COIL 280/440V - NVC (440) MK2 (DOL STARTER),,,COIL,10,,BOX,VIRAT BANGLORE OFFICE,
57,COIL BCH 190V,,,COIL,10,,BOX,VIRAT BANGLORE OFFICE,
58,COIL BCH 220/240V,,,COIL,30,,BOX,VIRAT BANGLORE OFFICE,
59,COIL BCH 380/415V,,,COIL,30,,BOX,SEICO,
